id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
3116210,a,2022-12-26 06:30:00 +0100,QR0289,Doha/DOH,Qatar Airways,1,"",Arrived 06:31,2022-12-25 06:31:07 +0100,2022-12-26 06:34:08 +0100,true,2022-12-26 06:31:00 +0100,63a7dfd82d38227218d69318,32A
3116241,a,2022-12-26 07:55:00 +0100,EZS1217,Basel/MULHOUSE,Easyjet,2,"",Arrived 07:49,2022-12-25 07:56:08 +0100,2022-12-26 07:51:09 +0100,true,2022-12-26 07:49:00 +0100,63a7f3c42d38227218d694a0,320
3116243,a,2022-12-26 08:05:00 +0100,W65619,Milan/MALPENSA,Wizz Air,2,"",Arrived 08:15,2022-12-25 08:06:07 +0100,2022-12-26 08:18:07 +0100,true,2022-12-26 08:15:00 +0100,63a7f61c2d38227218d6961c,32Q
3116244,a,2022-12-26 08:15:00 +0100,HV5235,Eindhoven,Transavia.com,2,"",Arrived 08:00,2022-12-25 08:16:09 +0100,2022-12-26 08:02:08 +0100,true,2022-12-26 08:00:00 +0100,63a7f8742d38227218d6975d,73H
3116245,a,2022-12-26 08:20:00 +0100,KL1351,Amsterdam,Klm Royal Dutch Airlines,2,"",Arrived 08:08,2022-12-25 08:21:08 +0100,2022-12-26 08:11:07 +0100,true,2022-12-26 08:08:00 +0100,63a7f9a02d38227218d697bf,E7W
3116248,a,2022-12-26 08:30:00 +0100,J20109,Baku,Azerbaijan Airlines,1,"",Arrived 08:38,2022-12-25 08:31:10 +0100,2022-12-26 08:40:08 +0100,true,2022-12-26 08:38:00 +0100,63a7fbf92d38227218d699bc,319
3116250,a,2022-12-26 08:40:00 +0100,LX1484,Zurich,Swiss International Air Lines,2,"",Arrived 08:40,2022-12-25 08:41:08 +0100,2022-12-26 08:43:08 +0100,true,2022-12-26 08:40:00 +0100,63a7fe502d38227218d69a67,223
3116251,a,2022-12-26 08:40:00 +0100,QS1287,Tel Aviv/TLV,SmartWings,1,"",Arrived 09:31,2022-12-25 08:41:08 +0100,2022-12-26 09:34:07 +0100,true,2022-12-26 09:31:00 +0100,63a7fe502d38227218d69a68,73J
3116257,a,2022-12-26 08:55:00 +0100,TK1767,Istanbul/IST,Turkish Airlines,1,"",Arrived 08:54,2022-12-25 08:56:08 +0100,2022-12-26 08:56:07 +0100,true,2022-12-26 08:54:00 +0100,63a801d42d38227218d69bc7,32B
3116258,a,2022-12-26 09:00:00 +0100,JU0610,Belgrade,Air Serbia,1,"",Arrived 09:03,2022-12-25 09:01:08 +0100,2022-12-26 09:06:08 +0100,true,2022-12-26 09:03:00 +0100,63a803012d38227218d69cc3,AT7
3116261,a,2022-12-26 09:05:00 +0100,LO0523,Warsaw/WAW,Lot Polish Airlines,2,"",Arrived 08:56,2022-12-25 09:06:08 +0100,2022-12-26 08:59:07 +0100,true,2022-12-26 08:56:00 +0100,63a8042c2d38227218d69d0a,E75
3116262,a,2022-12-26 09:10:00 +0100,EZY1801,Manchester,Easyjet,1,"",Arrived 08:45,2022-12-25 09:11:08 +0100,2022-12-26 08:47:07 +0100,true,2022-12-26 08:45:00 +0100,63a805592d38227218d69dec,32N
3116277,a,2022-12-26 09:45:00 +0100,QS2525,Hurghada,SmartWings,1,"",Arrived 09:23,2022-12-25 09:46:10 +0100,2022-12-26 09:25:08 +0100,true,2022-12-26 09:23:00 +0100,63a80d8c2d38227218d6a710,73H
3116279,a,2022-12-26 09:50:00 +0100,FR2960,London/STANSTED,Ryanair,1,"",Arrived 09:38,2022-12-25 09:51:08 +0100,2022-12-26 09:40:08 +0100,true,2022-12-26 09:38:00 +0100,63a80eb82d38227218d6a8b7,73H
