id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2889583,a,2020-03-17 06:55:00 +0100,QR0289,Doha/HAMAD INTERNATIONAL,Qatar Airways,1,"",Arrived 06:22,2020-03-16 06:56:06 +0100,2020-03-17 06:24:05 +0100,true,2020-03-17 06:22:00 +0100,5e6f14b42d38cf7a3e243551,32A
2889586,a,2020-03-17 07:35:00 +0100,U60701,Ekaterinburg,Ural Airlines,1,"",Arrived 07:16,2020-03-16 07:36:06 +0100,2020-03-17 07:18:04 +0100,true,2020-03-17 07:16:00 +0100,5e6f1e142d38cf7a3e243732,320
2889587,a,2020-03-17 08:20:00 +0100,KL1351,Amsterdam,Klm Royal Dutch Airlines,2,"",Arrived 08:06,2020-03-16 08:21:06 +0100,2020-03-17 08:08:05 +0100,true,2020-03-17 08:06:00 +0100,5e6f28a02d38cf7a3e243f22,E90
2889596,a,2020-03-17 09:00:00 +0100,LH1688,Munich,Lufthansa,2,"",Cancelled,2020-03-16 09:01:06 +0100,2020-03-16 22:42:05 +0100,true,,5e6f32002d38cf7a3e244064,319
2889598,a,2020-03-17 09:05:00 +0100,TK1767,Istanbul Airport,Turkish Airlines,1,"",Arrived 08:56,2020-03-16 09:06:05 +0100,2020-03-17 08:59:05 +0100,true,2020-03-17 08:56:00 +0100,5e6f332c2d38cf7a3e244072,32Q
2889599,a,2020-03-17 09:10:00 +0100,FR2766,Madrid,Ryanair,2,"",Arrived 09:09,2020-03-16 09:11:06 +0100,2020-03-17 09:11:05 +0100,true,2020-03-17 09:09:00 +0100,5e6f34582d38cf7a3e244077,73H
2889606,a,2020-03-17 09:50:00 +0100,SU2010,Moscow/SHEREMETYEVO,Aeroflot,1,"",Cancelled,2020-03-16 09:51:06 +0100,2020-03-16 09:51:06 +0100,true,,5e6f3db82d38cf7a3e2442d0,32B
2889590,a,2020-03-17 09:55:00 +0100,RO0225,Bucharest,Tarom,1,"",Arrived 09:32,2020-03-16 08:46:05 +0100,2020-03-17 09:34:05 +0100,true,2020-03-17 09:32:00 +0100,5e6f2e7c2d38cf7a3e243ff4,AT7
2889608,a,2020-03-17 10:10:00 +0100,VY8652,Barcelona,Vueling,2,"",Cancelled,2020-03-16 10:11:06 +0100,2020-03-16 10:11:06 +0100,true,,5e6f42692d38cf7a3e2443a9,320
2889609,a,2020-03-17 10:20:00 +0100,BA0854,London/HEATHROW,British Airways,1,"",Arrived 10:01,2020-03-16 10:21:06 +0100,2020-03-17 10:03:05 +0100,true,2020-03-17 10:01:00 +0100,5e6f44c02d38cf7a3e244476,320
2889610,a,2020-03-17 10:45:00 +0100,FR8221,Copenhagen,Ryanair,2,"",Arrived 10:16,2020-03-16 10:46:05 +0100,2020-03-17 10:19:05 +0100,true,2020-03-17 10:16:00 +0100,5e6f4a9c2d38cf7a3e2447db,73H
2889613,a,2020-03-17 11:00:00 +0100,FR8331,Rome/CIAMPINO,Ryanair,2,"",Cancelled,2020-03-16 11:01:06 +0100,2020-03-16 11:01:06 +0100,true,,5e6f4e202d38cf7a3e244a29,73H
2889614,a,2020-03-17 11:00:00 +0100,SN2809,Brussels,Brussels Airlines,2,"",Cancelled,2020-03-16 11:01:06 +0100,2020-03-16 13:49:06 +0100,true,,5e6f4e202d38cf7a3e244a2a,319
2889619,a,2020-03-17 11:10:00 +0100,FV6621,St Petersburg,Rossiya Airlines,1,"",Cancelled,2020-03-16 11:11:05 +0100,2020-03-16 11:11:05 +0100,true,,5e6f50782d38cf7a3e244ae4,319
2889622,a,2020-03-17 11:20:00 +0100,G90582,Sharjah,Air Arabia,1,"",Arrived 10:44,2020-03-16 11:21:06 +0100,2020-03-17 10:46:05 +0100,true,2020-03-17 10:44:00 +0100,5e6f52d02d38cf7a3e244b23,32A
2889624,a,2020-03-17 11:30:00 +0100,DY1502,Oslo,Norwegian,2,"",Arrived 11:28,2020-03-16 11:31:05 +0100,2020-03-17 11:31:05 +0100,true,2020-03-17 11:28:00 +0100,5e6f55292d38cf7a3e244ccb,73H
2889625,a,2020-03-17 11:30:00 +0100,PS0807,Kyiv/BORYSPIL,Ukraine International Airlines,1,"",Cancelled,2020-03-16 11:31:05 +0100,2020-03-16 14:02:05 +0100,true,,5e6f55292d38cf7a3e244ccc,73H
2889626,a,2020-03-17 11:35:00 +0100,FR1013,London/STANSTED,Ryanair,1,"",Arrived 11:12,2020-03-16 11:36:06 +0100,2020-03-17 11:14:05 +0100,true,2020-03-17 11:12:00 +0100,5e6f56542d38cf7a3e244cfb,73H
2889629,a,2020-03-17 12:05:00 +0100,B20861,Minsk,Belavia,1,"",Arrived 11:45,2020-03-16 12:06:06 +0100,2020-03-17 11:48:05 +0100,true,2020-03-17 11:45:00 +0100,5e6f5d5c2d38cf7a3e245302,733
2889632,a,2020-03-17 12:15:00 +0100,SU2012,Moscow/SHEREMETYEVO,Aeroflot,1,"",Arrived 11:38,2020-03-16 12:16:05 +0100,2020-03-17 11:41:05 +0100,true,2020-03-17 11:38:00 +0100,5e6f5fb42d38cf7a3e2453a2,333
2889633,a,2020-03-17 12:25:00 +0100,QR0291,Doha/HAMAD INTERNATIONAL,Qatar Airways,1,"",Arrived 11:50,2020-03-16 12:26:06 +0100,2020-03-17 11:52:05 +0100,true,2020-03-17 11:50:00 +0100,5e6f620c2d38cf7a3e2454b3,788
2889634,a,2020-03-17 12:25:00 +0100,TU0642,Vienna,Tunisair,1,"",Arrived 13:09,2020-03-16 12:26:06 +0100,2020-03-17 13:11:08 +0100,true,2020-03-17 13:09:00 +0100,5e6f620c2d38cf7a3e2454b4,319
2889637,a,2020-03-17 12:55:00 +0100,EK0139,Dubai,Emirates,1,"",Arrived 12:07,2020-03-16 12:56:06 +0100,2020-03-17 12:09:05 +0100,true,2020-03-17 12:07:00 +0100,5e6f69142d38cf7a3e2459d3,388
2889640,a,2020-03-17 13:15:00 +0100,S75865,Novosibirsk,S7 Airlines,1,"",Arrived 12:30,2020-03-16 13:16:05 +0100,2020-03-17 12:33:04 +0100,true,2020-03-17 12:30:00 +0100,5e6f6dc42d38cf7a3e245e14,32N
2889641,a,2020-03-17 13:25:00 +0100,U60751,Zhukovsky,Ural Airlines,1,"",Arrived 12:56,2020-03-16 13:26:06 +0100,2020-03-17 12:59:05 +0100,true,2020-03-17 12:56:00 +0100,5e6f701c2d38cf7a3e246015,321
2889642,a,2020-03-17 13:35:00 +0100,BA0852,London/HEATHROW,British Airways,1,"",Arrived 13:18,2020-03-16 13:36:06 +0100,2020-03-17 13:20:05 +0100,true,2020-03-17 13:18:00 +0100,5e6f72742d38cf7a3e24618e,320
2889644,a,2020-03-17 13:40:00 +0100,KL1355,Amsterdam,Klm Royal Dutch Airlines,2,"",Arrived 13:27,2020-03-16 13:41:06 +0100,2020-03-17 13:29:04 +0100,true,2020-03-17 13:27:00 +0100,5e6f73a02d38cf7a3e246190,73H
2889648,a,2020-03-17 14:00:00 +0100,FR3039,Barcelona,Ryanair,2,"",Arrived 13:58,2020-03-16 14:01:05 +0100,2020-03-17 14:01:11 +0100,true,2020-03-17 13:58:00 +0100,5e6f78502d38cf7a3e246a9b,73H
2889649,a,2020-03-17 14:05:00 +0100,BT0481,Riga,Air Baltic,2,"",Cancelled,2020-03-16 14:06:06 +0100,2020-03-16 14:06:06 +0100,true,,5e6f797c2d38cf7a3e246bc7,223
2889650,a,2020-03-17 14:10:00 +0100,SU2018,Moscow/SHEREMETYEVO,Aeroflot,1,"",Cancelled,2020-03-16 14:11:05 +0100,2020-03-16 14:11:05 +0100,true,,5e6f7aa82d38cf7a3e246cf1,73H
2889661,a,2020-03-17 14:25:00 +0100,AF1082,Paris/CDG,Air France,2,"",Arrived 14:50,2020-03-16 14:26:06 +0100,2020-03-17 14:53:05 +0100,true,2020-03-17 14:50:00 +0100,5e6f7e2c2d38cf7a3e246dcf,320
2889667,a,2020-03-17 14:25:00 +0100,EI0644,Dublin,Aer Lingus,1,"",Arrived 14:11,2020-03-16 14:26:06 +0100,2020-03-17 14:13:08 +0100,true,2020-03-17 14:11:00 +0100,5e6f7e2c2d38cf7a3e246dd0,320
2889669,a,2020-03-17 14:55:00 +0100,FR8205,Billund,Ryanair,2,"",Arrived 14:30,2020-03-16 14:56:05 +0100,2020-03-17 14:32:05 +0100,true,2020-03-17 14:30:00 +0100,5e6f85342d38cf7a3e2474c7,73H
2889671,a,2020-03-17 15:00:00 +0100,IB3148,Madrid,Iberia,2,"",Arrived 14:53,2020-03-16 15:01:05 +0100,2020-03-17 14:56:05 +0100,true,2020-03-17 14:53:00 +0100,5e6f86622d38cf7a3e247585,321
2889680,a,2020-03-17 15:25:00 +0100,FR2415,Pisa,Ryanair,2,"",Cancelled,2020-03-16 15:26:05 +0100,2020-03-17 15:12:05 +0100,true,,5e6f8c3c2d38cf7a3e247b46,73H
2889681,a,2020-03-17 15:25:00 +0100,FR8211,Bari,Ryanair,2,"",Cancelled,2020-03-16 15:26:05 +0100,2020-03-17 15:12:05 +0100,true,,5e6f8c3c2d38cf7a3e247b47,73H
2889685,a,2020-03-17 15:30:00 +0100,FR7326,Dublin,Ryanair,1,"",Arrived 15:18,2020-03-16 15:31:06 +0100,2020-03-17 15:20:05 +0100,true,2020-03-17 15:18:00 +0100,5e6f8d692d38cf7a3e247b74,73H
2889688,a,2020-03-17 15:50:00 +0100,SU2014,Moscow/SHEREMETYEVO,Aeroflot,1,"",Cancelled,2020-03-16 15:51:06 +0100,2020-03-16 15:51:06 +0100,true,,5e6f92182d38cf7a3e247c29,73H
2889693,a,2020-03-17 17:15:00 +0100,SN2811,Brussels,Brussels Airlines,2,"",Cancelled,2020-03-16 17:16:05 +0100,2020-03-16 17:16:05 +0100,true,,5e6fa6042d38cf7a3e248301,320
2889694,a,2020-03-17 17:45:00 +0100,BA0856,London/HEATHROW,British Airways,1,"",Arrived 17:22,2020-03-16 17:46:05 +0100,2020-03-17 17:25:04 +0100,true,2020-03-17 17:22:00 +0100,5e6fad0d2d38cf7a3e24854e,320
2889696,a,2020-03-17 17:45:00 +0100,KL1357,Amsterdam,Klm Royal Dutch Airlines,2,"",Arrived 17:30,2020-03-16 17:46:05 +0100,2020-03-17 17:33:05 +0100,true,2020-03-17 17:30:00 +0100,5e6fad0d2d38cf7a3e24854f,E90
2889699,a,2020-03-17 17:55:00 +0100,FR1054,Edinburgh,Ryanair,1,"",Arrived 17:45,2020-03-16 17:56:06 +0100,2020-03-17 17:47:05 +0100,true,2020-03-17 17:45:00 +0100,5e6faf642d38cf7a3e2485fb,73H
2889702,a,2020-03-17 18:10:00 +0100,TK1769,Istanbul Airport,Turkish Airlines,1,"",Arrived 17:43,2020-03-16 18:11:05 +0100,2020-03-17 17:45:05 +0100,true,2020-03-17 17:43:00 +0100,5e6fb2e82d38cf7a3e2488dc,32B
2889709,a,2020-03-17 20:10:00 +0100,FR2013,London/STANSTED,Ryanair,1,"",Arrived 19:47,2020-03-16 20:11:05 +0100,2020-03-17 19:50:05 +0100,true,2020-03-17 19:47:00 +0100,5e6fcf082d38cf7a3e2491b5,73H
2889710,a,2020-03-17 20:20:00 +0100,FR8257,Riga,Ryanair,2,"",Cancelled,2020-03-16 20:21:05 +0100,2020-03-17 15:12:06 +0100,true,,5e6fd1602d38cf7a3e2491ba,73H
2889712,a,2020-03-17 20:40:00 +0100,FR6838,Manchester,Ryanair,1,"",Arrived 20:21,2020-03-16 20:41:05 +0100,2020-03-17 20:23:05 +0100,true,2020-03-17 20:21:00 +0100,5e6fd6122d38cf7a3e2491c2,73H
2889713,a,2020-03-17 20:45:00 +0100,FR4091,Budapest,Ryanair,2,"",Arrived 20:30,2020-03-16 20:46:05 +0100,2020-03-17 20:32:05 +0100,true,2020-03-17 20:30:00 +0100,5e6fd73c2d38cf7a3e2491c6,73H
2889716,a,2020-03-17 21:10:00 +0100,FZ1781,Dubai,Flydubai,1,"",Cancelled,2020-03-16 21:11:05 +0100,2020-03-16 21:11:05 +0100,true,,5e6fdd1a2d38cf7a3e249288,73H
2889717,a,2020-03-17 21:20:00 +0100,SU2016,Moscow/SHEREMETYEVO,Aeroflot,1,"",Arrived 20:39,2020-03-16 21:21:05 +0100,2020-03-17 20:41:05 +0100,true,2020-03-17 20:39:00 +0100,5e6fdf702d38cf7a3e249291,32B
2889718,a,2020-03-17 22:05:00 +0100,SN2815,Brussels,Brussels Airlines,2,"",Cancelled,2020-03-16 22:06:05 +0100,2020-03-16 22:06:05 +0100,true,,5e6fe9fc2d38cf7a3e2492f1,319
2889720,a,2020-03-17 22:50:00 +0100,FR2121,Charleroi,Ryanair,2,"",Arrived 22:45,2020-03-16 22:51:05 +0100,2020-03-17 22:47:05 +0100,true,2020-03-17 22:45:00 +0100,5e6ff4882d38cf7a3e249300,73H
2889721,a,2020-03-17 23:55:00 +0100,TP1246,Lisbon,Tap Portugal,2,"",Arrived 02:13,2020-03-16 23:56:05 +0100,2020-03-18 02:16:04 +0100,true,2020-03-18 02:13:00 +0100,5e7003c42d38cf7a3e2493cd,319
2889722,a,2020-03-18 00:20:00 +0100,QS4160,Dakar/BLAISE DIAGNE,SmartWings,1,"",Arrived 00:30,2020-03-17 00:21:05 +0100,2020-03-18 00:32:05 +0100,true,2020-03-18 00:30:00 +0100,5e7009a02d38cf7a3e249441,73H
2889724,a,2020-03-18 00:35:00 +0100,QS4191,Mombasa,SmartWings,1,"",Arrived 01:39,2020-03-17 00:36:05 +0100,2020-03-18 01:41:05 +0100,true,2020-03-18 01:39:00 +0100,5e700d242d38cf7a3e249449,73H
