id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
3000925,a,2022-01-31 08:15:00 +0100,LX1484,Zurich,Swiss International Air Lines,2,"",Delayed,2022-01-30 08:16:07 +0100,2022-01-31 07:53:07 +0100,true,,61f63af5bebc58802725f78b,221
3000926,a,2022-01-31 08:20:00 +0100,EW9772,Dusseldorf,Eurowings Ag,2,"",Arrived 08:02,2022-01-30 08:21:08 +0100,2022-01-31 08:09:06 +0100,true,2022-01-31 08:02:00 +0100,61f63c21bebc58802725f970,320
3000928,a,2022-01-31 09:00:00 +0100,JU0610,Belgrade,Air Serbia,1,"",Expected 09:05,2022-01-30 09:01:07 +0100,2022-01-31 07:23:07 +0100,true,2022-01-31 09:05:00 +0100,61f64582bebc588027260014,AT7
3000931,a,2022-01-31 09:10:00 +0100,EZY1801,Manchester,Easyjet,1,"",Expected 08:55,2022-01-30 09:11:07 +0100,2022-01-31 07:22:07 +0100,true,2022-01-31 08:55:00 +0100,61f647d9bebc588027260228,32N
3000933,a,2022-01-31 09:30:00 +0100,LO0523,Warsaw/CHOPIN,Lot Polish Airlines,2,"",Expected 09:20,2022-01-30 09:31:07 +0100,2022-01-31 08:13:06 +0100,true,2022-01-31 09:20:00 +0100,61f64c89bebc5880272606a9,DH4
3000935,a,2022-01-31 09:50:00 +0100,SU2010,Moscow/SHEREMETYEVO,Aeroflot,1,"",Expected 09:40,2022-01-30 09:51:07 +0100,2022-01-31 07:23:07 +0100,true,2022-01-31 09:40:00 +0100,61f65138bebc588027260845,32A
3000937,a,2022-01-31 10:15:00 +0100,OS0705,Vienna,Austrian Airlines,2,"","",2022-01-30 10:16:07 +0100,2022-01-30 10:16:07 +0100,true,,61f65715bebc588027260c4e,E95
3000942,a,2022-01-31 10:30:00 +0100,EW4205,Milan/MALPENSA,Eurowings Ag,2,"","",2022-01-30 10:31:07 +0100,2022-01-30 10:31:07 +0100,true,,61f65a9abebc588027260fa2,319
3000943,a,2022-01-31 10:35:00 +0100,EW4211,Copenhagen,Eurowings Ag,2,"","",2022-01-30 10:36:08 +0100,2022-01-30 10:36:08 +0100,true,,61f65bc4bebc588027261050,319
3000944,a,2022-01-31 10:45:00 +0100,FR4944,Milan/BERGAMO,Ryanair,2,"","",2022-01-30 10:46:07 +0100,2022-01-30 10:46:07 +0100,true,,61f65e1ebebc588027261108,73H
3000948,a,2022-01-31 11:00:00 +0100,PS0807,Kyiv/BORYSPIL,Ukraine International Airlines,1,"","",2022-01-30 11:01:07 +0100,2022-01-30 11:01:07 +0100,true,,61f661a3bebc5880272612a2,73H
3000950,a,2022-01-31 11:05:00 +0100,QS1287,Tel Aviv/BEN GURION,SmartWings,1,"",Expected 11:40,2022-01-30 11:06:08 +0100,2022-01-31 07:40:07 +0100,true,2022-01-31 11:40:00 +0100,61f662cdbebc588027261408,7M8
3000953,a,2022-01-31 11:10:00 +0100,AF1382,Paris/CDG,Air France,2,"","",2022-01-30 11:11:08 +0100,2022-01-30 11:11:08 +0100,true,,61f663f9bebc58802726154a,319
3000958,a,2022-01-31 11:10:00 +0100,FR8331,Rome/CIAMPINO,Ryanair,2,"","",2022-01-30 11:11:08 +0100,2022-01-30 11:11:08 +0100,true,,61f663f9bebc58802726154b,73H
3000959,a,2022-01-31 11:35:00 +0100,EJU2581,Milan/MALPENSA,Easyjet,2,"","",2022-01-30 11:36:09 +0100,2022-01-30 11:36:09 +0100,true,,61f669d4bebc588027261a73,320
3000961,a,2022-01-31 11:50:00 +0100,FR1013,London/STANSTED,Ryanair,1,"","",2022-01-30 11:51:08 +0100,2022-01-30 11:51:08 +0100,true,,61f66d58bebc588027261c0b,73H
3000969,a,2022-01-31 11:55:00 +0100,LO0527,Warsaw/CHOPIN,Lot Polish Airlines,2,"","",2022-01-30 11:56:07 +0100,2022-01-30 11:56:07 +0100,true,,61f66e84bebc588027261eb5,E95
3000970,a,2022-01-31 11:55:00 +0100,RO0225,Bucharest,Tarom,1,"","",2022-01-30 11:56:07 +0100,2022-01-30 11:56:07 +0100,true,,61f66e84bebc588027261eb6,73W
