id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2942119,d,2021-06-28 04:45:00 +0200,QS1146,Rhodes,SmartWings,2,D4,Departed 04:41,2021-06-27 04:46:08 +0200,2021-06-28 04:56:06 +0200,true,2021-06-28 04:41:00 +0200,60d7e62d2d3863e9dbf398a1,73H
2942120,d,2021-06-28 04:50:00 +0200,QS1126,Kos,SmartWings,2,C3,Departed 04:46,2021-06-27 04:51:07 +0200,2021-06-28 05:00:08 +0200,true,2021-06-28 04:46:00 +0200,60d7e7592d3863e9dbf399b3,73H
2942121,d,2021-06-28 04:55:00 +0200,QS1102,Heraklion,SmartWings,2,D2,Departed 04:50,2021-06-27 04:56:07 +0200,2021-06-28 05:02:06 +0200,true,2021-06-28 04:50:00 +0200,60d7e8852d3863e9dbf39c05,73H
2942122,d,2021-06-28 05:15:00 +0200,QS1118,Zakynthos Island,SmartWings,2,C2,Departed 05:07,2021-06-27 05:16:07 +0200,2021-06-28 05:24:05 +0200,true,2021-06-28 05:07:00 +0200,60d7ed352d3863e9dbf39e39,7M8
2942124,d,2021-06-28 06:15:00 +0200,FR1014,London/STANSTED,Ryanair,1,B10,Departed 06:18,2021-06-27 06:16:06 +0200,2021-06-28 06:24:05 +0200,true,2021-06-28 06:18:00 +0200,60d7fb452d3863e9dbf3ab9b,73H
2942123,d,2021-06-28 06:15:00 +0200,FR2122,Charleroi,Ryanair,2,C20,Departed 06:08,2021-06-27 06:16:06 +0200,2021-06-28 06:22:06 +0200,true,2021-06-28 06:08:00 +0200,60d7fb452d3863e9dbf3ab9a,73H
2942125,d,2021-06-28 06:20:00 +0200,KL1350,Amsterdam,Klm Royal Dutch Airlines,2,C4,Departed 06:29,2021-06-27 06:21:07 +0200,2021-06-28 06:39:06 +0200,true,2021-06-28 06:29:00 +0200,60d7fc712d3863e9dbf3aba8,E90
2942131,d,2021-06-28 06:20:00 +0200,QS2038,Corvera International Airport,SmartWings,2,C10,Departed 06:17,2021-06-27 06:21:07 +0200,2021-06-28 06:29:05 +0200,true,2021-06-28 06:17:00 +0200,60d7fc712d3863e9dbf3aba9,73G
2942132,d,2021-06-28 07:30:00 +0200,LH1403,Frankfurt,Lufthansa,2,C9,Departed 07:26,2021-06-27 07:31:07 +0200,2021-06-28 07:36:06 +0200,true,2021-06-28 07:26:00 +0200,60d80cd92d3863e9dbf3b33b,E90
2942144,d,2021-06-28 09:05:00 +0200,EW9773,Dusseldorf,Eurowings Ag,2,D2,Departed 08:57,2021-06-27 09:06:07 +0200,2021-06-28 09:07:06 +0200,true,2021-06-28 08:57:00 +0200,60d8231e2d3863e9dbf3baa1,32A
2942147,d,2021-06-28 09:35:00 +0200,JU0611,Belgrade,Air Serbia,1,B14,Departed 09:35,2021-06-27 09:36:07 +0200,2021-06-28 09:41:07 +0200,true,2021-06-28 09:35:00 +0200,60d82a252d3863e9dbf3c0e7,AT7
2942148,d,2021-06-28 09:55:00 +0200,EJU7902,Amsterdam,Easyjet,2,D5,Departed 09:55,2021-06-27 09:56:07 +0200,2021-06-28 10:05:07 +0200,true,2021-06-28 09:55:00 +0200,60d82ed52d3863e9dbf3c5f7,32A
2942149,d,2021-06-28 09:55:00 +0200,FR8228,Marseille,Ryanair,2,C20,Departed 10:04,2021-06-27 09:56:07 +0200,2021-06-28 10:11:06 +0200,true,2021-06-28 10:04:00 +0200,60d82ed52d3863e9dbf3c5f8,73H
2942150,d,2021-06-28 10:05:00 +0200,LX1485,Zurich,Swiss International Air Lines,2,C6,Departed 10:06,2021-06-27 10:06:08 +0200,2021-06-28 10:20:06 +0200,true,2021-06-28 10:06:00 +0200,60d8312d2d3863e9dbf3c797,320
2942158,d,2021-06-28 10:55:00 +0200,OS0706,Vienna,Austrian Airlines,2,C12,Departed 10:52,2021-06-27 10:56:07 +0200,2021-06-28 11:01:05 +0200,true,2021-06-28 10:52:00 +0200,60d83ce52d3863e9dbf3d9a5,E95
2942161,d,2021-06-28 11:00:00 +0200,QS2208,Kavala,SmartWings,2,C11,Departed 10:55,2021-06-27 11:01:06 +0200,2021-06-28 11:08:06 +0200,true,2021-06-28 10:55:00 +0200,60d83e122d3863e9dbf3db3e,73H
2942168,d,2021-06-28 11:30:00 +0200,QS2216,Rhodes,SmartWings,2,D4,Departed 11:27,2021-06-27 11:31:07 +0200,2021-06-28 11:41:06 +0200,true,2021-06-28 11:27:00 +0200,60d8451a2d3863e9dbf3e937,73H
2942169,d,2021-06-28 11:35:00 +0200,OK0918,Kyiv/BORYSPIL,Czech Airlines,1,B7,Departed 11:35,2021-06-27 11:36:07 +0200,2021-06-28 11:45:07 +0200,true,2021-06-28 11:35:00 +0200,60d846452d3863e9dbf3ebf8,320
2942173,d,2021-06-28 11:55:00 +0200,KL1354,Amsterdam,Klm Royal Dutch Airlines,2,C4,Departed 12:00,2021-06-27 11:56:07 +0200,2021-06-28 12:10:06 +0200,true,2021-06-28 12:00:00 +0200,60d84af52d3863e9dbf404b5,295
2942175,d,2021-06-28 12:00:00 +0200,FR4092,Budapest,Ryanair,2,C20,Departed 12:01,2021-06-27 12:01:07 +0200,2021-06-28 12:07:06 +0200,true,2021-06-28 12:01:00 +0200,60d84c222d3863e9dbf40abd,73H
2942176,d,2021-06-28 12:00:00 +0200,QS2036,Tenerife/SUR,SmartWings,2,C3,Departed 11:59,2021-06-27 12:01:07 +0200,2021-06-28 12:13:06 +0200,true,2021-06-28 11:59:00 +0200,60d84c222d3863e9dbf40abe,7M8
2942178,d,2021-06-28 12:05:00 +0200,OK0760,Paris/CDG,Czech Airlines,2,C2,Departed 12:07,2021-06-27 12:06:08 +0200,2021-06-28 12:17:06 +0200,true,2021-06-28 12:07:00 +0200,60d84d4d2d3863e9dbf41631,319
2942186,d,2021-06-28 12:20:00 +0200,QS1170,Madeira/FUNCHAL,SmartWings,2,D3,Departed 12:14,2021-06-27 12:21:07 +0200,2021-06-28 12:26:06 +0200,true,2021-06-28 12:14:00 +0200,60d850d12d3863e9dbf41f5e,73J
2942187,d,2021-06-28 12:25:00 +0200,QS1082,Split,SmartWings,1,A4,Departed 12:25,2021-06-27 12:26:07 +0200,2021-06-28 12:39:06 +0200,true,2021-06-28 12:25:00 +0200,60d851fd2d3863e9dbf421f0,7M8
2942188,d,2021-06-28 12:40:00 +0200,QS1178,Burgas,SmartWings,1,A3,Departed 12:38,2021-06-27 12:41:07 +0200,2021-06-28 12:54:06 +0200,true,2021-06-28 12:38:00 +0200,60d855822d3863e9dbf42775,7M8
2942190,d,2021-06-28 12:50:00 +0200,SU2013,Moscow/SHEREMETYEVO,Aeroflot,1,B8,Departed 12:55,2021-06-27 12:51:07 +0200,2021-06-28 13:04:06 +0200,true,2021-06-28 12:55:00 +0200,60d857d92d3863e9dbf42871,32B
2942192,d,2021-06-28 13:10:00 +0200,FR5508,Milan/BERGAMO,Ryanair,2,C19,Departed 13:07,2021-06-27 13:11:06 +0200,2021-06-28 13:13:06 +0200,true,2021-06-28 13:07:00 +0200,60d85c8a2d3863e9dbf42cb7,73H
2942196,d,2021-06-28 13:15:00 +0200,PS0808,Kyiv/BORYSPIL,Ukraine International Airlines,1,B14,Departed 13:09,2021-06-27 13:16:06 +0200,2021-06-28 13:11:06 +0200,true,2021-06-28 13:09:00 +0200,60d85db52d3863e9dbf42d74,E90
