id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
1725558,d,2013-03-27 06:00:00 +0100,W62681,Milan/Bergamo (IT),Wizz Air,Terminal 2,C21,Departed 06:00,2016-07-17 03:45:39 +0200,2016-12-09 09:50:35 +0100,true,2013-03-27 06:00:00 +0100,,
1717737,d,2013-03-27 06:10:00 +0100,LH1403,Frankfurt (DE),Lufthansa,Terminal 2,C2,Departed 06:09,2016-07-17 03:45:39 +0200,2016-12-09 08:55:43 +0100,true,2013-03-27 06:09:00 +0100,,
1726676,d,2013-03-27 06:20:00 +0100,SN2816,Brussels (BE),Brussels Airlines,Terminal 2,C8,Departed 06:18,2016-07-17 03:45:39 +0200,2016-12-09 09:36:49 +0100,true,2013-03-27 06:18:00 +0100,,
1943226,d,2013-03-27 06:30:00 +0100,LX1495,Zurich (CH),Swiss International Air Lines,Terminal 2,C6,Departed 06:29,2016-07-17 03:45:39 +0200,2016-12-09 08:59:04 +0100,true,2013-03-27 06:29:00 +0100,,
1792155,d,2013-03-27 06:50:00 +0100,KL1350,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,C10,Departed 06:50,2016-07-17 03:45:39 +0200,2016-12-09 08:50:58 +0100,true,2013-03-27 06:50:00 +0100,,
1851445,d,2013-03-27 06:50:00 +0100,LH1697,Munich (DE),Lufthansa,Terminal 2,C3,Departed 06:43,2016-07-17 03:45:39 +0200,2016-12-09 08:56:45 +0100,true,2013-03-27 06:43:00 +0100,,
1953296,d,2013-03-27 06:55:00 +0100,OK0504,Copenhagen (DK),Czech Airlines,Terminal 2,C12,Departed 06:57,2016-07-17 03:45:39 +0200,2016-12-09 09:02:19 +0100,true,2013-03-27 06:57:00 +0100,,
1958714,d,2013-03-27 06:55:00 +0100,OK0522,Dusseldorf (DE),Czech Airlines,Terminal 2,C13,Departed 06:57,2016-07-17 03:45:39 +0200,2016-12-09 09:03:13 +0100,true,2013-03-27 06:57:00 +0100,,
1682691,d,2013-03-27 06:55:00 +0100,OK7320,Braunschweig (DE),Czech Airlines,Terminal 3,"",Departed 07:02,2016-07-17 03:45:39 +0200,2016-12-09 09:18:46 +0100,true,2013-03-27 07:02:00 +0100,,
1973078,d,2013-03-27 07:00:00 +0100,OK0616,Amsterdam (NL),Czech Airlines,Terminal 2,D1,Departed 07:16,2016-07-17 03:45:39 +0200,2016-12-09 09:04:55 +0100,true,2013-03-27 07:16:00 +0100,,
1728386,d,2013-03-27 07:00:00 +0100,OK0718,Milan/Malpensa (IT),Czech Airlines,Terminal 2,D5,Departed 06:58,2016-07-17 03:45:39 +0200,2016-12-09 09:06:27 +0100,true,2013-03-27 06:58:00 +0100,,
1808432,d,2013-03-27 07:05:00 +0100,OK0776,Warsaw (PL),Czech Airlines,Terminal 2,C14,Departed 07:07,2016-07-17 03:45:39 +0200,2016-12-09 09:08:17 +0100,true,2013-03-27 07:07:00 +0100,,
1968550,d,2013-03-27 07:10:00 +0100,OK0534,Frankfurt (DE),Czech Airlines,Terminal 2,D3,Departed 07:17,2016-07-17 03:45:39 +0200,2016-12-09 09:03:52 +0100,true,2013-03-27 07:17:00 +0100,,
1999735,d,2013-03-27 07:10:00 +0100,OK0758,Paris/CDG (FR),Czech Airlines,Terminal 2,D6,Departed 07:17,2016-07-17 03:45:39 +0200,2016-12-09 09:07:34 +0100,true,2013-03-27 07:17:00 +0100,,
1970568,d,2013-03-27 07:45:00 +0100,OK0542,Hamburg (DE),Czech Airlines,Terminal 2,C15,Departed 08:05,2016-07-17 03:45:39 +0200,2016-12-09 09:04:26 +0100,true,2013-03-27 08:05:00 +0100,,
1896566,d,2013-03-27 07:45:00 +0100,OK0786,Budapest (HU),Czech Airlines,Terminal 2,C12,Departed 07:47,2016-07-17 03:45:39 +0200,2016-12-09 09:08:48 +0100,true,2013-03-27 07:47:00 +0100,,
2031260,d,2013-03-27 08:10:00 +0100,OS0704,Vienna (AT),Austrian Airlines,Terminal 2,C16,Departed 08:20,2016-07-17 03:45:39 +0200,2016-12-09 09:19:29 +0100,true,2013-03-27 08:20:00 +0100,,
1932615,d,2013-03-27 08:25:00 +0100,LH1393,Frankfurt (DE),Lufthansa,Terminal 2,C2,Departed 08:27,2016-07-17 03:45:39 +0200,2016-12-09 08:54:35 +0100,true,2013-03-27 08:27:00 +0100,,
1721918,d,2013-03-27 08:45:00 +0100,BA0853,London/Heathrow (GB),British Airways,Terminal 1,A3,Departed 08:42,2016-07-17 03:45:39 +0200,2016-12-09 08:28:24 +0100,true,2013-03-27 08:42:00 +0100,,
1710160,d,2013-03-27 09:05:00 +0100,LH3051,Dusseldorf (DE),Lufthansa,Terminal 2,C15,Departed 09:10,2016-07-17 03:45:39 +0200,2016-12-09 08:56:48 +0100,true,2013-03-27 09:10:00 +0100,,
1728417,d,2013-03-27 09:10:00 +0100,OK0892,Moscow/Sheremetyevo (RU),Czech Airlines,Terminal 1,B4,Departed 09:38,2016-07-17 03:45:39 +0200,2016-12-09 09:09:54 +0100,true,2013-03-27 09:38:00 +0100,,
