id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
3026360,d,2022-05-02 06:00:00 +0200,FR8220,Copenhagen,Ryanair,2,C19,"",2022-05-01 06:01:07 +0200,2022-05-01 08:40:07 +0200,true,,626e05c22d38f1d9eea9177c,73H
3026361,d,2022-05-02 06:00:00 +0200,LH1403,Frankfurt,Lufthansa,2,C9,"",2022-05-01 06:01:07 +0200,2022-05-01 06:01:07 +0200,true,,626e05c22d38f1d9eea9177d,321
3026370,d,2022-05-02 06:05:00 +0200,KL1350,Amsterdam,Klm Royal Dutch Airlines,2,C4,"",2022-05-01 06:06:09 +0200,2022-05-01 06:06:09 +0200,true,,626e06ec2d38f1d9eea91872,73H
3026374,d,2022-05-02 06:15:00 +0200,EW4210,Copenhagen,Eurowings Ag,2,C6,"",2022-05-01 06:16:08 +0200,2022-05-01 08:40:07 +0200,true,,626e09452d38f1d9eea919c7,32A
3026376,d,2022-05-02 06:15:00 +0200,FR2122,Charleroi,Ryanair,2,C18,"",2022-05-01 06:16:08 +0200,2022-05-01 08:40:07 +0200,true,,626e09452d38f1d9eea919c8,73H
3026377,d,2022-05-02 06:30:00 +0200,AF1583,Paris/CDG,Air France,2,C2,"",2022-05-01 06:31:10 +0200,2022-05-01 06:31:10 +0200,true,,626e0cc92d38f1d9eea91a5c,320
3026380,d,2022-05-02 06:40:00 +0200,FR1014,London/STANSTED,Ryanair,1,B10,"",2022-05-01 06:41:09 +0200,2022-05-01 08:39:11 +0200,true,,626e0f212d38f1d9eea91b19,73H
3026381,d,2022-05-02 06:45:00 +0200,SN2816,Brussels,Brussels Airlines,2,C7,"",2022-05-01 06:46:07 +0200,2022-05-01 06:46:07 +0200,true,,626e104d2d38f1d9eea91c3c,319
3026385,d,2022-05-02 07:00:00 +0200,EW4236,Stockholm/ARLANDA,Eurowings Ag,2,C3,"",2022-05-01 07:01:09 +0200,2022-05-01 08:41:07 +0200,true,,626e13d12d38f1d9eea91cd2,319
3026387,d,2022-05-02 07:05:00 +0200,BA0853,London/HEATHROW,British Airways,1,A9,"",2022-05-01 07:06:08 +0200,2022-05-01 07:06:08 +0200,true,,626e14fc2d38f1d9eea91d14,321
3026388,d,2022-05-02 07:30:00 +0200,EW4214,Barcelona,Eurowings Ag,2,D3,"",2022-05-01 07:31:09 +0200,2022-05-01 08:42:08 +0200,true,,626e1ad92d38f1d9eea91d52,319
3026390,d,2022-05-02 07:30:00 +0200,OS0712,Vienna,Austrian Airlines,2,C12,"",2022-05-01 07:31:09 +0200,2022-05-01 07:31:09 +0200,true,,626e1ada2d38f1d9eea91d53,E95
3026399,d,2022-05-02 08:20:00 +0200,W65440,Venice/MARCO POLO,Wizz Air,2,C19,"",2022-05-01 08:21:08 +0200,2022-05-01 08:39:11 +0200,true,,626e26922d38f1d9eea924ca,321
3026406,d,2022-05-02 08:40:00 +0200,LH1689,Munich,Lufthansa,2,C11,"",2022-05-01 08:41:08 +0200,2022-05-01 20:33:09 +0200,true,,626e2b422d38f1d9eea92a4b,E95
3026415,d,2022-05-02 08:50:00 +0200,KL1352,Amsterdam,Klm Royal Dutch Airlines,2,C4,"",2022-05-01 08:51:08 +0200,2022-05-01 08:51:08 +0200,true,,626e2d992d38f1d9eea92d18,E90
3026419,d,2022-05-02 08:55:00 +0200,EW9773,Dusseldorf,Eurowings Ag,2,C3,"",2022-05-01 08:56:09 +0200,2022-05-01 08:56:09 +0200,true,,626e2ec52d38f1d9eea92def,32A
3026421,d,2022-05-02 08:55:00 +0200,HV5234,Eindhoven,Transavia.com,2,D5,"",2022-05-01 08:56:09 +0200,2022-05-01 08:56:09 +0200,true,,626e2ec52d38f1d9eea92df0,73H
3026422,d,2022-05-02 08:55:00 +0200,W68304,Rome/FIUMICINO,Wizz Air,2,C18,"",2022-05-01 08:56:09 +0200,2022-05-01 08:56:09 +0200,true,,626e2ec52d38f1d9eea92df1,321
